#parents N1
#parents N2 N1
#parents N3 N2 N1
#parents N4 N3 N2 N1
#parents N5 N4 N3 N2 N1
#parents N6 N5 N4 N3 N2 N1
#parents N7 N6 N5 N4 N3 N2 N1
#parents N8 N7 N6 N5 N4 N3 N2 N1
#parents N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N20 N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	1	2	1	2	1	1	1	2	1	2	2	2	2	1	1	2	1	1	1	1	2	1	1	2
N2	11	11	11	3	11	11	11	11	11	11	11	3	11	3	11	11	3	3	11	3	11	11	11	11	3
N3	11	3	7	7	3	3	3	11	3	3	11	3	3	11	3	3	3	11	3	3	7	3	3	3	3
N4	1	2	1	2	1	2	1	1	1	1	2	2	2	1	1	2	1	2	2	1	2	1	2	2	2
N5	1	1	1	1	1	2	2	2	1	1	1	2	1	2	1	2	1	2	1	1	1	2	2	2	2
N6	3	8	1	3	8	9	8	4	10	7	1	8	6	1	5	8	7	3	10	7	1	10	10	8	10
N7	5	3	4	9	3	2	7	6	4	6	2	3	3	10	7	1	10	7	2	7	1	2	3	2	5
N8	3	10	1	3	7	6	5	4	7	7	1	5	5	1	5	9	6	4	10	6	2	8	9	9	8
N9	4	9	3	1	4	6	5	3	3	7	4	3	4	4	4	9	4	4	10	5	2	4	8	10	5
N10	2	9	2	1	4	4	5	2	3	7	2	3	4	3	3	9	4	4	10	5	1	4	8	10	5
N11	4	4	4	8	2	2	7	5	4	6	4	2	3	8	6	1	10	6	3	7	1	3	2	2	4
N12	3	9	3	2	4	5	6	3	4	7	3	3	4	4	4	8	6	4	10	6	1	4	8	9	5
N13	3	8	2	2	3	6	7	4	4	5	3	4	4	5	4	8	9	4	10	6	1	4	9	9	6
N14	2	8	1	1	3	4	4	2	3	6	1	3	3	1	2	8	4	1	10	5	1	4	8	10	5
N15	2	9	1	5	5	7	8	6	6	7	1	6	5	5	6	9	10	6	10	7	4	6	9	9	9
N16	2	9	1	2	3	7	7	4	5	6	1	4	4	4	5	9	9	4	10	6	1	5	9	10	7
N17	3	9	1	2	3	5	6	1	3	10	3	2	4	4	3	9	8	4	10	8	1	2	8	10	5
N18	2	9	1	2	3	4	6	2	3	8	1	2	3	5	4	9	8	4	10	6	1	5	8	10	5
N19	2	9	1	2	3	5	6	3	3	8	2	3	3	5	5	9	8	4	10	6	1	5	8	10	5
N20	2	9	1	2	3	5	6	2	3	7	1	3	3	4	4	9	7	3	10	6	1	5	8	10	5
