#parents N1
#parents N2 N1
#parents N3 N2 N1
#parents N4 N3 N2 N1
#parents N5 N4 N3 N2 N1
#parents N6 N5 N4 N3 N2 N1
#parents N7 N6 N5 N4 N3 N2 N1
#parents N8 N7 N6 N5 N4 N3 N2 N1
#parents N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N20 N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	2	2	1	2	2	1	1	2	1	2	2	1	2	2	1	1	2	1	1	1	2	2	1	2
N2	7	7	7	11	7	7	7	11	11	11	11	3	7	11	7	3	7	11	3	11	7	7	3	3	7
N3	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
N4	3	11	7	3	3	11	3	7	3	3	7	3	3	7	11	3	3	7	3	11	3	3	3	11	11
N5	2	2	2	2	2	1	2	2	1	2	1	1	2	2	1	1	2	2	1	2	1	2	2	2	2
N6	8	1	7	10	8	1	8	7	10	10	6	10	8	5	1	10	7	5	10	1	7	8	10	2	1
N7	7	7	4	5	5	10	1	2	6	1	6	7	7	10	3	8	6	4	10	4	10	8	7	1	9
N8	3	9	8	10	6	9	10	6	9	9	7	7	3	2	3	7	4	8	1	4	10	7	5	7	8
N9	6	5	7	3	5	6	8	3	1	2	1	9	6	2	7	9	7	3	9	5	6	6	10	9	5
N10	7	7	3	5	7	3	6	2	8	6	5	8	6	9	10	2	1	5	5	2	4	9	8	8	5
N11	4	9	6	6	5	10	5	1	6	5	3	10	4	2	1	5	4	4	4	1	10	7	10	4	8
N12	5	3	5	4	5	2	7	3	2	4	1	9	6	1	3	9	5	2	10	1	5	5	10	1	3
N13	4	5	3	10	6	4	10	2	8	10	3	8	3	1	1	7	5	3	1	2	8	7	5	3	2
N14	6	3	5	4	6	2	7	2	3	4	1	9	6	2	3	8	5	2	9	1	5	6	10	1	3
N15	7	5	6	4	6	5	7	2	5	3	4	9	6	5	5	9	6	4	10	1	6	7	9	1	5
N16	7	6	7	6	7	5	7	3	5	5	2	10	7	3	6	9	7	3	10	1	7	7	10	3	6
N17	7	6	7	7	7	5	8	2	6	6	4	10	7	1	5	10	7	1	10	1	7	7	9	3	6
N18	8	7	8	7	8	7	8	2	6	7	4	10	8	2	7	10	8	2	10	1	8	8	10	4	7
N19	7	6	7	7	7	6	7	2	6	6	4	10	7	2	6	10	7	2	10	1	7	7	9	2	6
N20	7	7	6	7	7	6	8	5	5	5	2	10	7	1	7	10	7	1	10	5	7	7	9	2	7
