#parents N1
#parents N2 N1
#parents N3 N2 N1
#parents N4 N3 N2 N1
#parents N5 N4 N3 N2 N1
#parents N6 N5 N4 N3 N2 N1
#parents N7 N6 N5 N4 N3 N2 N1
#parents N8 N7 N6 N5 N4 N3 N2 N1
#parents N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N20 N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	1	2	2	2	1	2	2	2	2	1	1	2	1	1	2	2	1	1	2	2	2	1	2	1
N2	3	11	3	11	7	3	7	7	7	7	7	11	11	7	3	7	7	3	11	11	11	3	3	11	7
N3	2	1	1	1	2	1	1	2	2	1	2	1	1	1	2	2	2	1	2	2	1	1	1	1	2
N4	1	2	1	1	2	1	2	1	2	1	1	1	2	2	1	1	1	2	1	1	1	2	1	2	1
N5	7	7	11	7	3	3	11	3	11	7	3	3	3	7	3	11	11	7	7	11	11	11	3	3	11
N6	3	9	2	1	5	8	6	2	1	3	7	8	2	8	7	5	1	6	8	2	2	2	10	3	9
N7	7	2	9	1	9	9	9	7	10	10	10	3	3	7	8	10	9	7	2	4	4	10	6	3	7
N8	10	8	2	9	9	10	1	9	1	9	10	10	8	7	9	4	3	8	8	3	3	2	10	8	5
N9	3	3	8	2	6	8	10	5	7	10	6	4	4	8	6	8	7	7	1	2	5	10	6	4	5
N10	6	1	8	2	9	8	10	7	10	10	8	4	3	7	9	9	9	7	3	4	4	10	6	2	8
N11	8	8	5	8	9	10	4	9	1	8	10	10	9	8	10	3	2	7	8	2	5	5	10	8	4
N12	9	7	6	9	9	10	1	9	1	9	10	10	9	7	9	7	7	8	8	7	7	2	10	9	8
N13	10	10	6	7	8	3	7	6	6	9	8	8	5	3	9	2	8	7	5	5	6	6	1	2	6
N14	7	9	5	5	7	7	8	5	3	5	6	7	7	10	8	7	1	8	9	3	3	4	8	7	10
N15	6	1	7	2	7	9	9	6	9	9	9	5	2	7	10	7	8	8	2	3	3	8	5	1	9
N16	4	2	4	1	9	5	10	3	10	5	6	4	2	9	7	4	5	10	3	2	2	9	4	1	6
N17	8	7	6	8	9	10	2	9	1	8	10	10	8	7	9	7	6	8	8	6	7	3	10	8	7
N18	5	5	3	4	6	10	5	6	4	8	9	8	6	6	7	4	3	6	3	1	3	5	9	6	4
N19	2	1	5	1	9	6	10	4	10	6	6	1	1	8	3	5	5	9	1	2	1	9	4	1	6
N20	5	4	4	3	8	10	7	6	6	9	10	7	4	8	8	5	4	8	3	1	2	7	8	4	6
