1,2,2,2,3,1.7107,4.0575,-0.95835,0.71051,2.6497,4.9388,16.483,1.52,21.266,36.189,113.42,60.531,1.4695,83.008,87.385
1,1,2,1,3,2.7901,4.105,-0.81221,1.7817,0.91306,4.0015,6.2411,-2.3253,13.219,26.639,73.9,169.88,1.9764,56.486,475.59
1,2,2,1,11,1.8167,2.6827,-3.9852,-6.4057,0.39825,-10.028,-55.484,1.1627,-101.77,-162.98,-476.52,-1094.2,0.69362,-305.59,-1314.4
1,2,1,2,3,3.1428,-0.26917,1.0065,2.1355,1.3355,-1.6458,2.7623,3.6837,4.7059,9.5266,32.872,81.259,1.1153,33.244,100.68
2,1,2,1,3,1.8484,1.5855,-1.0794,0.87454,4.5765,6.7081,3.889,-1.0258,6.2806,12.581,38.446,43.7,2.2707,106.7,133.28
1,1,2,1,3,0.66334,6.0385,-1.7043,-2.2429,1.3997,4.2573,-3.1208,1.3478,-3.3874,-5.2078,-15.57,-34.31,0.68944,2.1284,-77.253
1,1,1,2,3,2.0716,-0.38334,0.22052,0.68738,3.9314,-3.9138,-5.9141,2.9486,-7.0699,-10.367,-25.956,-59.793,2.1495,-29.513,-169.69
1,1,1,2,3,2.4619,0.85881,-0.090827,0.48318,3.3443,0.10228,3.9238,1.6524,6.191,11.963,38.523,102.98,2.4502,45.09,282.38
1,1,1,1,11,0.8824,-2.2171,-8.418,-13.48,-1.3622,-5.5977,-70.127,-0.2015,-131.88,-211.45,-603.55,-1466.8,0.1349,-620.21,-4000.6
2,2,2,1,11,2.3412,4.2804,-4.2694,-5.0123,-1.0534,2.829,-22.441,-0.014601,-48.964,-76.941,-216.2,-260.55,-1.7728,-568.37,-307.71
2,1,2,2,11,2.4657,2.9471,-8.8981,-14.047,-1.3535,-9.7729,-84.924,1.4929,-212.06,-344.27,-959.06,-1673.4,0.85739,-2494.6,-4561.5
1,2,2,1,7,-0.3025,4.0329,-1.3019,-1.1956,3.5127,4.0505,-3.5102,-0.44661,-6.4617,-9.2831,-23.631,-50.592,4.1903,0.67804,-39.436
1,1,2,1,3,0.40889,1.9914,-0.14956,0.95972,3.9902,2.9645,2.693,-1.0959,5.4878,7.6457,25.154,67.267,3.7498,27.467,192.19
1,1,2,2,11,1.1813,3.2008,-10.305,-17.875,0.23181,-25.419,-93.635,1.1219,-119.39,-191.4,-597.9,-349.82,1.5741,-408.01,-990.57
1,1,2,1,3,2.8496,1.8522,-0.37913,0.57288,4.9729,2.7232,2.2517,0.20335,4.5735,7.319,20.077,63.19,4.3036,22.767,182.29
1,2,2,1,7,2.5172,3.3756,-0.7432,0.22671,2.2285,7.0449,9.5116,-0.51975,17.558,29.713,87.734,204.42,3.2411,71.104,265.55
2,1,1,1,3,-0.87831,-0.21582,0.32499,3.6189,2.8234,10.704,9.252,-0.90465,17.818,33.09,98.966,309.41,-1.1032,256.92,860.83
1,1,1,2,3,0.92119,0.010772,-0.82292,-0.28724,2.4521,-2.5337,-5.7652,3.3092,-8.6429,-13.325,-34.095,-86.253,2.1092,-35.578,-237.92
1,1,2,1,3,0.64548,4.5561,-0.14384,3.1046,4.5388,5.816,12.33,0.16479,24.427,41.822,123.27,300.25,4.444,92.265,834.98
2,2,1,1,3,-0.12747,-2.1582,-0.54902,-0.30267,2.3229,-3.539,-1.4664,-0.64588,-2.3543,-3.0523,-6.6598,-18.105,-0.2786,-20.064,-25.49
1,1,2,1,11,0.5251,3.3487,-3.4329,-3.8049,-1.6198,2.9951,-14.565,0.18429,-24.735,-36.694,-106.9,-257.73,-1.5893,-57.058,-693
2,1,1,1,11,2.1035,1.0092,-7.3871,-11.269,-0.74067,-18.7,-99.168,-0.346,-213.68,-344.67,-977.32,-2984.6,1.8458,-2436.7,-8141
1,1,2,1,3,1.5598,4.5183,-1.284,-1.2485,2.4938,6.2416,0.64946,0.28006,2.9918,7.5131,20.956,53.279,3.3035,30.346,164.98
2,1,2,2,11,0.84032,2.7758,-9.8466,-14.968,-2.5116,-10.598,-90.746,3.3326,-224.15,-362.4,-1009.5,-1762.3,-1.6853,-2636.9,-4805.1
2,2,2,1,7,1.1398,3.429,-0.33678,0.35391,2.7516,9.1222,8.4912,0.55408,17.355,29.379,85.244,101.32,-0.24403,222.61,137.27
