#parents N1
#parents N2 N1
#parents N3 N2 N1
#parents N4 N3 N2 N1
#parents N5 N4 N3 N2 N1
#parents N6 N5 N4 N3 N2 N1
#parents N7 N6 N5 N4 N3 N2 N1
#parents N8 N7 N6 N5 N4 N3 N2 N1
#parents N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N20 N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	2	1	1	1	1	1
N2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	1	1	2	2	1	2	2	2	1
N3	2	1	2	2	2	2	2	2	1	1	2	1	2	1	2	1	2	2	2	1	1	2	2	2	1
N4	7	7	3	7	3	11	3	11	3	11	7	11	3	3	7	11	11	7	3	3	3	7	3	7	11
N5	2	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	2	1	1	2	1	1	1	1	2
N6	4	10	7	6	8	6	10	8	8	6	7	7	8	7	7	10	7	7	4	1	6	10	10	7	8
N7	5	7	7	6	8	6	2	1	9	4	5	5	6	8	9	10	9	6	2	7	8	3	5	7	6
N8	4	9	10	2	9	7	2	2	2	8	3	10	1	2	9	3	8	8	1	4	10	1	3	3	8
N9	1	5	6	2	6	3	9	7	6	5	2	4	7	7	4	10	5	1	5	2	5	5	7	2	8
N10	1	10	5	8	6	3	6	10	8	9	10	2	6	7	4	10	4	8	6	7	6	7	6	9	3
N11	2	7	6	7	10	2	5	3	10	6	6	1	5	8	1	10	1	6	1	1	6	2	5	7	1
N12	8	9	8	10	9	1	5	3	6	4	9	3	9	8	9	2	3	7	8	7	7	8	10	8	1
N13	1	10	8	6	7	5	10	10	7	8	8	7	8	7	6	9	6	6	6	3	7	8	9	7	9
N14	3	3	7	2	6	3	1	1	8	5	4	4	6	8	9	6	7	3	1	3	6	3	5	10	10
N15	5	10	9	6	10	1	6	3	5	7	4	1	5	6	9	3	4	7	5	5	8	5	5	4	3
N16	10	5	9	6	3	4	1	3	10	7	1	10	8	8	10	5	7	1	4	3	3	6	6	6	10
N17	3	10	8	6	9	1	6	4	6	6	6	1	5	6	8	6	5	6	4	4	7	5	5	6	3
N18	2	10	7	6	9	1	5	4	6	6	6	1	5	6	5	7	3	6	3	3	7	4	5	6	2
N19	2	10	7	5	9	1	6	5	6	6	6	1	5	6	7	7	4	6	3	3	7	5	6	6	4
N20	1	10	4	2	4	3	4	4	5	7	3	5	3	6	3	6	3	3	2	1	6	3	4	3	9
