#parents N20
#parents N19 N20
#parents N18 N19 N20
#parents N17 N18 N19 N20
#parents N16 N17 N18 N19 N20
#parents N15 N16 N17 N18 N19 N20
#parents N14 N15 N16 N17 N18 N19 N20
#parents N13 N14 N15 N16 N17 N18 N19 N20
#parents N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N1 N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	1	2	1	1	2	2	1	2	1	2	2	1	2	1	1	2	2	2	2	1	2	2	1	1
N2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1
N3	1	2	1	1	2	1	2	1	1	2	1	1	1	1	2	2	1	1	1	2	1	1	1	2	2
N4	2	2	1	1	2	2	1	1	1	1	2	1	1	2	2	1	1	1	1	2	1	2	2	1	2
N5	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1
N6	8	6	7	6	6	2	9	5	10	5	2	9	7	10	6	8	8	1	10	8	7	8	9	5	6
N7	2	5	1	4	2	1	9	3	5	10	3	4	1	6	4	8	5	1	3	7	4	2	4	5	7
N8	8	5	4	4	4	7	8	4	7	8	5	6	10	6	2	5	3	6	1	9	8	8	7	8	4
N9	8	10	4	8	6	3	1	5	5	4	7	1	9	3	2	5	3	5	4	5	1	8	6	2	4
N10	6	8	7	10	5	1	4	4	6	6	7	5	8	5	1	6	8	6	6	5	6	6	3	6	2
N11	9	7	6	3	3	5	4	7	10	3	10	9	1	6	7	8	5	4	4	6	9	6	3	7	7
N12	8	5	7	5	6	3	9	5	10	4	2	9	5	10	5	6	8	1	10	8	5	8	9	5	5
N13	5	7	4	7	2	2	9	5	7	10	6	6	4	8	1	9	8	2	4	8	5	4	5	7	7
N14	6	7	4	7	2	3	9	5	8	10	5	6	4	8	1	5	7	3	4	9	6	4	5	8	7
N15	7	7	6	10	2	5	9	8	10	10	9	8	6	10	1	8	10	5	7	8	7	6	7	6	7
N16	7	5	5	6	2	1	10	4	10	9	5	8	4	10	1	7	9	1	6	10	5	6	7	5	5
N17	5	2	1	6	5	3	10	1	7	6	10	7	5	1	3	5	7	10	6	4	6	8	4	4	4
N18	1	4	1	3	3	1	10	2	3	10	4	3	2	4	2	8	3	8	2	7	3	3	2	5	7
N19	4	5	3	5	5	1	10	3	7	9	6	6	3	7	2	10	6	4	5	8	5	5	5	5	6
N20	7	5	5	5	2	2	10	4	10	6	4	8	4	10	1	5	8	1	6	10	5	5	6	5	5
