#parents N1
#parents N2 N1
#parents N3 N2 N1
#parents N4 N3 N2 N1
#parents N5 N4 N3 N2 N1
#parents N6 N5 N4 N3 N2 N1
#parents N7 N6 N5 N4 N3 N2 N1
#parents N8 N7 N6 N5 N4 N3 N2 N1
#parents N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N20 N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1
N2	3	11	7	11	7	11	7	7	7	7	7	11	11	11	11	7	11	11	7	3	7	3	7	11	7
N3	11	11	3	7	3	11	7	7	7	3	7	11	7	11	7	3	7	3	7	11	3	7	3	11	11
N4	3	11	11	7	7	11	7	7	11	3	7	3	11	11	11	11	7	11	7	3	11	7	7	7	11
N5	11	7	3	11	3	3	3	7	11	3	11	11	11	7	11	7	11	3	11	11	11	7	11	7	7
N6	1	2	10	3	9	3	3	3	3	8	1	3	2	1	4	7	4	9	3	1	10	1	8	4	3
N7	7	5	3	7	6	1	5	8	3	8	5	10	2	3	3	3	6	3	6	8	1	4	7	4	3
N8	6	4	6	5	8	2	3	8	1	10	2	8	2	3	4	3	6	8	3	6	2	2	9	5	1
N9	6	4	6	5	9	2	3	8	1	10	2	8	2	3	4	3	6	8	4	6	2	2	10	4	1
N10	4	2	9	5	9	1	6	6	6	8	6	1	5	1	6	8	6	8	6	5	10	7	7	2	2
N11	2	10	3	6	8	3	5	4	8	10	7	6	9	3	10	7	4	6	8	1	10	1	1	6	5
N12	7	2	9	4	10	1	6	6	6	10	4	7	6	2	7	7	5	8	4	8	6	3	8	1	2
N13	6	9	7	9	9	8	7	10	1	10	8	10	7	8	8	7	9	10	3	6	1	2	10	4	7
N14	2	6	4	3	8	4	4	6	1	10	3	3	3	5	3	6	3	9	1	2	1	4	3	5	5
N15	7	7	8	4	10	6	6	6	6	10	4	6	7	7	8	7	5	8	4	7	8	6	7	1	4
N16	5	4	7	6	9	2	4	8	1	10	4	9	3	3	4	4	7	8	3	5	4	2	10	1	1
N17	3	5	4	2	8	4	2	6	1	10	3	5	1	4	1	4	4	7	2	3	2	2	5	4	2
N18	5	2	8	5	9	1	3	7	3	10	3	5	2	1	4	4	6	8	4	6	5	3	9	3	1
N19	5	5	6	1	9	3	3	7	4	10	3	4	5	4	5	7	2	7	2	5	5	6	6	2	7
N20	7	8	8	1	9	5	6	8	6	10	6	4	6	8	6	8	2	8	6	7	7	7	8	4	8
