#parents N20
#parents N19 N20
#parents N18 N19 N20
#parents N17 N18 N19 N20
#parents N16 N17 N18 N19 N20
#parents N15 N16 N17 N18 N19 N20
#parents N14 N15 N16 N17 N18 N19 N20
#parents N13 N14 N15 N16 N17 N18 N19 N20
#parents N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N1 N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	1	2	1	2	2	2	2	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	2
N2	2	2	1	2	1	2	1	1	1	2	2	1	1	1	1	2	1	1	2	2	1	1	2	1	1
N3	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	1
N4	2	2	1	2	2	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
N5	11	3	3	3	11	7	11	3	3	7	3	3	3	3	11	3	3	11	7	7	3	3	7	11	3
N6	7	6	4	9	5	8	7	7	7	3	3	6	7	3	6	1	5	3	5	3	6	10	7	7	5
N7	2	8	6	10	8	8	9	3	7	9	6	7	8	7	9	7	7	3	6	10	2	10	8	7	1
N8	2	8	9	8	1	2	1	9	7	9	10	10	7	9	5	9	9	2	10	9	10	10	9	4	9
N9	1	7	9	7	1	1	1	9	6	9	10	10	7	10	6	10	8	2	10	8	10	10	8	5	8
N10	2	8	7	6	2	9	1	9	7	9	7	9	7	5	1	7	7	2	7	10	6	6	7	1	9
N11	1	6	9	6	6	4	6	7	7	10	10	9	9	10	9	7	9	4	10	10	8	10	9	8	8
N12	1	8	9	8	3	2	3	8	8	10	10	10	8	9	7	9	8	1	10	9	9	10	9	6	9
N13	9	7	4	8	10	8	9	6	8	1	4	3	2	5	1	10	2	4	5	1	1	2	5	6	4
N14	4	8	9	8	1	1	2	9	9	10	10	10	8	9	8	9	9	1	10	9	9	10	9	7	9
N15	4	8	9	8	1	1	2	9	8	10	10	10	8	9	7	9	9	1	10	9	9	10	9	7	9
N16	3	8	9	8	1	1	2	8	8	10	10	10	8	9	7	9	9	1	10	9	9	10	9	7	9
N17	4	9	9	9	4	4	5	9	9	10	10	10	9	9	8	9	9	1	10	10	9	10	9	7	9
N18	2	2	6	1	4	6	1	6	4	4	6	8	5	5	2	4	9	2	8	10	6	4	7	2	1
N19	7	9	10	9	1	1	2	10	10	10	10	10	10	10	10	10	10	1	10	10	10	10	10	9	10
N20	7	9	10	9	5	7	5	9	9	10	10	10	9	10	8	10	9	1	10	10	10	10	10	8	9
