#parents N20
#parents N19 N20
#parents N18 N19 N20
#parents N17 N18 N19 N20
#parents N16 N17 N18 N19 N20
#parents N15 N16 N17 N18 N19 N20
#parents N14 N15 N16 N17 N18 N19 N20
#parents N13 N14 N15 N16 N17 N18 N19 N20
#parents N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N1 N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	1	2	2	2	2	1	1	2	1	1	2	2	2	1	2	2	2	2	1	1	2	2	1	1
N2	2	2	2	1	2	1	2	2	2	1	1	2	2	1	1	2	2	2	2	1	1	1	1	2	2
N3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
N4	2	2	2	2	2	2	2	1	2	2	1	1	2	2	1	1	2	2	1	2	2	2	2	2	1
N5	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2
N6	5	1	2	1	4	4	2	9	2	1	10	10	3	3	7	8	4	3	10	2	4	3	4	1	9
N7	1	7	4	3	5	1	1	5	8	9	9	9	5	4	4	7	4	8	9	6	6	10	7	4	10
N8	4	4	4	2	4	5	1	2	5	10	8	6	4	5	9	4	4	4	4	9	10	4	7	1	3
N9	2	5	1	2	4	1	1	3	4	10	9	10	2	2	5	3	3	4	9	5	4	3	5	3	9
N10	1	4	1	7	1	7	1	3	5	10	9	5	1	9	9	4	2	3	4	8	8	10	10	1	5
N11	1	1	7	7	3	9	8	5	5	3	5	3	7	2	5	6	2	3	2	6	2	5	5	7	10
N12	3	4	1	6	4	7	1	5	4	8	9	10	3	6	8	5	3	4	10	7	7	7	7	3	10
N13	2	5	1	6	4	7	5	7	3	6	8	10	3	5	8	5	3	3	10	6	6	6	7	6	8
N14	3	3	1	5	4	6	1	6	3	6	9	10	3	5	8	6	3	3	10	6	6	6	7	3	9
N15	3	4	1	6	4	7	1	5	4	8	10	10	3	6	8	5	3	4	10	7	7	7	8	3	10
N16	2	4	5	6	3	7	1	3	5	5	10	5	5	7	9	5	4	4	5	6	7	7	8	2	5
N17	1	4	5	6	3	7	1	4	5	5	10	5	5	7	9	6	3	4	5	6	6	7	8	2	7
N18	5	3	3	7	6	7	1	5	5	8	10	10	5	7	9	7	5	5	10	7	7	7	8	2	10
N19	5	3	3	6	6	6	1	6	5	7	10	10	4	6	8	7	5	5	10	6	6	6	7	2	10
N20	3	4	1	7	5	8	1	8	4	8	10	9	3	7	9	7	4	4	9	8	8	8	9	2	10
