#parents N20
#parents N19 N20
#parents N18 N19 N20
#parents N17 N18 N19 N20
#parents N16 N17 N18 N19 N20
#parents N15 N16 N17 N18 N19 N20
#parents N14 N15 N16 N17 N18 N19 N20
#parents N13 N14 N15 N16 N17 N18 N19 N20
#parents N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#parents N1 N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N13 N14 N15 N16 N17 N18 N19 N20
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	1	2	2	1	2	2	1	2	2	1	2	2	2	1	1	1	2	1	1	2	1	1	2	2
N2	2	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	2	2	1	2	1	1	1	1	1
N3	1	2	2	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	2
N4	11	11	7	11	3	11	3	11	7	11	11	3	11	11	11	11	3	11	3	3	3	11	11	3	7
N5	1	1	2	2	1	2	1	2	2	1	1	1	2	1	1	2	1	2	1	1	1	1	2	1	2
N6	6	10	5	5	8	5	1	9	4	5	10	5	3	5	8	10	7	7	7	10	8	8	8	3	6
N7	4	1	1	8	3	10	5	8	4	2	10	9	5	9	7	5	3	6	2	6	4	7	8	4	7
N8	1	3	1	3	7	9	3	2	1	2	7	4	7	1	10	10	3	2	8	3	8	9	6	8	10
N9	6	10	5	4	7	4	3	9	5	5	10	6	1	5	8	10	7	6	6	9	8	8	8	6	3
N10	10	10	3	1	3	1	5	2	4	10	9	5	1	10	10	3	6	1	7	4	7	9	4	6	1
N11	5	1	1	2	4	3	6	1	2	2	10	8	1	8	6	1	5	2	2	6	3	6	1	4	2
N12	1	3	9	2	8	3	10	2	9	3	1	9	3	5	4	3	9	4	10	9	10	5	4	10	7
N13	5	10	2	3	5	4	3	6	2	5	9	4	1	5	9	7	6	3	5	6	6	7	7	4	2
N14	6	6	5	7	4	7	7	6	6	5	8	9	6	8	6	6	5	5	4	10	6	7	7	1	6
N15	2	3	5	2	8	2	6	3	5	3	5	6	1	4	7	6	6	4	10	5	10	7	5	10	5
N16	5	2	9	8	4	5	7	6	7	6	8	8	5	10	6	2	1	5	5	6	6	7	9	1	1
N17	5	6	4	2	8	3	6	4	5	4	8	7	1	7	9	7	7	3	10	6	10	9	6	8	5
N18	4	5	3	2	8	3	6	3	4	4	9	7	1	7	10	5	7	3	9	6	10	9	5	8	4
N19	5	7	4	3	8	3	6	4	5	5	9	7	1	7	10	7	7	4	9	7	10	9	7	8	5
N20	6	6	4	4	5	4	3	6	4	5	10	4	1	5	10	5	5	4	5	6	5	5	8	5	4
