#parents N1
#parents N2 N1
#parents N3 N2 N1
#parents N4 N3 N2 N1
#parents N5 N4 N3 N2 N1
#parents N6 N5 N4 N3 N2 N1
#parents N7 N6 N5 N4 N3 N2 N1
#parents N8 N7 N6 N5 N4 N3 N2 N1
#parents N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N20 N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	1	2	2	2	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	2	2
N2	2	2	2	1	1	2	2	2	1	1	1	2	2	1	1	2	2	1	2	2	2	2	1	2	1
N3	2	2	2	1	1	2	2	2	1	2	2	1	2	1	1	2	2	1	2	2	1	2	1	1	1
N4	1	1	1	1	2	2	2	2	2	1	1	1	2	2	1	1	1	2	1	1	2	2	2	2	1
N5	2	2	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2
N6	5	4	6	10	1	1	1	1	4	10	8	5	1	4	8	4	7	4	3	4	3	1	2	1	10
N7	6	4	6	10	4	1	1	1	3	9	8	5	3	5	8	7	8	4	4	5	4	3	5	3	9
N8	6	2	3	6	5	5	3	3	8	1	7	8	6	4	10	3	5	5	10	7	4	6	4	6	10
N9	1	4	2	2	3	1	5	6	3	5	5	4	5	10	2	4	3	4	4	3	8	2	4	4	3
N10	6	6	6	9	4	2	2	1	7	7	8	10	3	6	9	6	7	3	8	7	4	3	6	4	10
N11	3	4	4	5	3	1	5	6	7	7	8	6	4	10	5	5	6	4	5	5	7	4	6	3	6
N12	5	6	5	9	2	1	6	7	8	9	10	8	5	10	9	6	8	4	7	6	9	5	7	4	10
N13	8	7	8	10	1	6	2	7	5	6	7	9	4	8	10	8	7	1	8	7	4	7	5	7	10
N14	5	6	5	9	4	1	6	6	8	9	10	8	5	10	9	6	8	6	6	6	9	5	8	5	10
N15	5	5	5	9	1	1	3	5	6	8	10	8	3	10	8	7	7	2	7	6	6	5	6	4	10
N16	6	5	6	10	4	1	4	4	6	10	10	7	4	9	8	7	9	4	6	5	7	4	7	4	10
N17	6	2	1	10	9	4	2	4	8	2	4	6	3	8	9	2	4	10	3	4	9	2	8	8	8
N18	7	7	6	10	1	1	6	6	7	9	9	7	2	8	9	8	9	1	7	7	4	7	8	3	10
N19	5	5	3	7	10	6	2	3	8	5	7	9	5	8	7	6	7	10	6	8	10	1	7	9	7
N20	4	4	3	7	4	1	3	4	7	8	9	7	4	10	6	5	7	6	5	5	8	2	6	4	7
