#parents N1
#parents N2 N1
#parents N3 N2 N1
#parents N4 N3 N2 N1
#parents N5 N4 N3 N2 N1
#parents N6 N5 N4 N3 N2 N1
#parents N7 N6 N5 N4 N3 N2 N1
#parents N8 N7 N6 N5 N4 N3 N2 N1
#parents N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N20 N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	2	1	1	2	2	1	2	1	1
N2	3	11	3	11	11	11	11	11	11	3	7	7	11	11	11	11	11	11	3	11	3	11	11	3	11
N3	11	3	3	7	3	3	7	11	11	11	11	3	7	11	3	3	11	3	3	3	11	11	11	11	3
N4	1	1	1	1	2	2	1	2	1	2	2	2	2	2	1	1	2	2	2	1	1	1	1	2	1
N5	1	2	1	1	2	2	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	2	1	2	1
N6	4	9	7	4	9	8	5	2	5	6	2	10	3	3	10	6	5	9	10	10	2	3	2	1	9
N7	10	3	10	3	1	3	4	2	4	6	3	2	1	3	8	7	2	1	7	4	10	8	4	8	7
N8	3	6	7	3	8	8	5	5	5	5	4	9	3	4	7	4	3	9	10	7	5	2	5	1	10
N9	6	5	6	5	5	8	6	5	6	6	5	6	5	5	7	5	5	10	10	5	5	2	5	1	10
N10	6	6	6	5	6	9	6	5	7	6	5	6	5	5	7	5	6	9	10	6	5	2	5	1	10
N11	9	4	10	4	2	4	5	3	6	5	2	1	3	4	7	6	4	4	6	5	8	7	4	6	8
N12	6	5	6	5	5	8	6	5	6	6	5	5	5	4	7	5	5	9	10	5	5	2	5	1	10
N13	6	5	8	4	6	8	5	4	5	6	4	5	4	4	7	5	5	9	10	6	6	5	4	1	7
N14	3	4	4	3	4	7	3	2	3	3	2	4	3	2	6	3	3	9	10	4	2	1	3	1	9
N15	5	4	9	1	5	8	3	1	5	5	1	5	1	5	7	5	3	9	10	5	4	5	1	1	8
N16	5	5	8	2	5	8	4	2	5	5	2	5	3	4	7	5	4	9	10	5	4	4	2	1	8
N17	6	4	6	5	5	7	5	5	6	5	5	5	5	4	7	4	5	8	9	5	5	1	4	1	10
N18	7	6	7	4	5	8	6	5	7	6	5	5	5	4	8	5	5	9	10	6	6	2	4	1	9
N19	7	6	7	4	5	8	5	4	6	6	5	5	5	4	8	5	5	9	10	6	6	3	4	1	9
N20	6	6	7	4	5	8	5	4	6	5	4	5	4	4	7	5	4	9	10	6	5	2	4	1	9
