#parents N1
#parents N2 N1
#parents N3 N2 N1
#parents N4 N3 N2 N1
#parents N5 N4 N3 N2 N1
#parents N6 N5 N4 N3 N2 N1
#parents N7 N6 N5 N4 N3 N2 N1
#parents N8 N7 N6 N5 N4 N3 N2 N1
#parents N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N20 N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	1	2	1	2	2	2	2	2	2	2	2	1	1	1	2	1	1	1	1	2	2	2	2	1
N2	1	2	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	2	2	2	1	1	1	2	1
N3	2	1	2	1	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2
N4	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1
N5	2	1	1	1	1	2	1	1	2	1	2	2	1	1	1	2	1	1	1	1	2	1	2	2	1
N6	8	6	6	6	7	6	3	4	2	7	4	4	7	1	7	7	1	3	7	8	4	2	6	9	10
N7	5	5	6	6	10	7	8	8	9	4	6	10	2	3	6	1	7	9	7	7	1	4	9	2	6
N8	5	7	5	4	10	7	10	6	1	1	6	10	2	7	10	5	4	7	7	8	3	8	3	8	5
N9	4	7	6	7	7	4	5	6	4	7	9	5	7	8	10	2	6	9	7	7	5	8	1	2	7
N10	7	9	9	5	7	6	4	4	4	10	6	5	4	6	7	8	7	9	1	7	7	4	6	10	7
N11	6	6	6	7	10	4	9	4	1	8	5	1	7	5	2	6	2	7	7	5	6	2	4	8	8
N12	8	2	8	3	5	7	4	6	1	5	6	5	4	8	2	3	8	4	8	10	6	9	7	7	2
N13	5	4	5	4	4	3	2	1	4	6	2	5	1	2	8	5	7	3	10	2	6	4	6	8	5
N14	9	4	7	7	5	7	7	7	5	6	6	8	5	5	5	8	7	3	8	10	1	3	9	6	7
N15	7	5	6	1	5	7	7	7	7	4	2	10	6	5	3	6	6	4	2	9	8	5	5	3	5
N16	4	9	7	10	10	4	7	6	1	9	4	1	7	7	5	4	4	7	10	10	5	4	2	5	7
N17	6	4	8	6	9	6	7	8	2	7	5	5	5	8	6	1	8	8	8	10	1	7	6	3	7
N18	4	6	4	6	4	3	5	3	1	5	3	6	6	7	10	2	7	6	10	7	3	6	3	3	8
N19	3	3	5	6	5	3	3	4	2	5	4	5	2	6	10	5	5	5	8	10	1	4	5	1	6
N20	8	5	8	4	7	5	5	4	8	9	3	10	4	3	4	7	3	6	1	4	8	5	6	6	3
