#parents N1
#parents N2 N1
#parents N3 N2 N1
#parents N4 N3 N2 N1
#parents N5 N4 N3 N2 N1
#parents N6 N5 N4 N3 N2 N1
#parents N7 N6 N5 N4 N3 N2 N1
#parents N8 N7 N6 N5 N4 N3 N2 N1
#parents N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N20 N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	1	1	1	1	1	2	1	1	2	2	2	1	2	1	2	1	2	1	1	2	1	1	1	1
N2	2	1	2	1	1	2	2	1	2	1	2	1	2	1	1	2	1	1	1	2	1	1	2	1	1
N3	2	2	2	1	1	2	2	1	2	2	2	2	2	2	1	1	2	2	1	2	2	1	1	2	2
N4	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	1	1	1	2	1	2	1	2
N5	2	2	2	2	1	1	2	1	1	1	2	1	2	1	1	2	2	1	1	1	2	1	1	2	1
N6	7	3	8	5	8	6	6	5	3	3	3	6	4	6	5	5	9	8	4	4	7	1	10	4	8
N7	5	7	10	2	4	3	6	3	3	2	6	7	9	5	9	3	1	4	3	7	6	10	5	5	8
N8	2	6	6	5	10	6	4	6	8	7	8	4	6	7	3	5	9	1	3	7	6	1	1	8	2
N9	1	7	6	9	7	7	7	6	7	6	8	6	6	10	4	7	4	10	4	7	7	5	4	2	6
N10	1	8	4	4	5	5	5	3	10	6	1	6	5	7	6	8	5	7	7	7	3	9	2	4	1
N11	6	5	10	9	6	2	6	4	6	8	10	9	9	3	1	10	5	3	2	6	9	8	1	10	9
N12	10	4	5	3	10	3	9	6	9	8	5	2	1	8	7	9	4	4	9	2	3	9	1	10	7
N13	6	9	9	1	8	5	6	6	2	9	9	6	7	9	7	7	3	5	10	5	1	5	3	7	10
N14	7	8	6	4	4	7	7	4	1	4	9	3	8	3	3	4	5	6	4	6	10	4	5	3	5
N15	8	9	5	2	10	10	2	1	7	3	7	10	4	2	8	8	5	4	4	5	5	10	8	5	2
N16	7	1	7	1	10	8	5	6	8	8	7	10	5	8	5	7	3	9	6	8	7	6	10	1	8
N17	6	7	10	2	8	5	6	7	7	7	6	8	10	7	9	6	1	8	7	7	4	10	7	6	10
N18	1	10	6	6	10	7	2	9	6	4	3	4	5	5	7	2	7	5	8	7	3	6	5	9	7
N19	5	7	7	6	6	8	9	4	5	5	6	6	7	10	1	4	6	10	1	7	8	3	1	3	6
N20	5	10	9	7	2	1	2	1	4	4	4	6	7	4	2	6	9	5	3	3	3	3	1	8	2
