#parents N1
#parents N2 N1
#parents N3 N2 N1
#parents N4 N3 N2 N1
#parents N5 N4 N3 N2 N1
#parents N6 N5 N4 N3 N2 N1
#parents N7 N6 N5 N4 N3 N2 N1
#parents N8 N7 N6 N5 N4 N3 N2 N1
#parents N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#parents N20 N19 N18 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3 N2 N1
#continuous
classes	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25
N1	2	2	2	1	1	2	1	2	1	1	2	1	2	2	2	1	2	1	2	1	2	2	2	1	1
N2	7	7	7	11	11	3	11	3	3	11	11	3	11	11	11	11	11	11	7	7	7	3	11	3	3
N3	3	7	7	7	7	11	7	7	3	7	11	3	7	7	3	11	3	7	7	3	11	3	3	3	3
N4	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	2	2	2	2	1	1	1	1
N5	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1
N6	8	7	4	3	7	5	7	6	8	8	7	4	1	5	7	5	3	5	10	3	4	8	7	3	7
N7	10	7	5	3	6	4	7	5	10	6	5	5	1	2	10	4	7	5	8	5	3	10	9	7	9
N8	10	3	8	5	2	3	7	7	2	10	9	7	5	5	9	7	9	6	3	1	1	3	8	10	8
N9	4	5	5	5	4	6	6	3	1	4	7	1	8	3	2	7	7	6	8	10	9	6	7	5	5
N10	3	2	4	7	8	6	9	2	9	8	8	7	10	1	1	10	7	8	9	8	10	5	5	8	10
N11	9	8	4	2	5	4	6	4	8	6	5	4	1	1	10	3	7	4	8	6	3	10	9	6	8
N12	9	7	5	3	6	5	7	5	8	6	5	4	1	2	10	4	7	5	9	6	4	10	10	6	8
N13	9	2	7	7	1	1	9	7	1	10	6	8	8	6	8	5	10	8	3	2	1	2	9	10	10
N14	4	1	4	4	1	3	6	3	2	6	2	8	4	3	4	3	7	5	3	4	1	4	6	10	10
N15	9	7	5	3	6	5	6	6	8	6	5	4	1	3	10	4	7	5	8	6	3	9	10	7	9
N16	4	8	4	3	9	6	10	9	5	8	10	3	2	2	6	6	5	7	10	1	6	4	4	4	3
N17	10	5	10	4	5	6	7	6	2	1	10	7	6	1	7	8	8	2	7	4	6	4	8	8	6
N18	5	1	4	4	1	3	6	3	2	7	3	8	5	3	5	3	7	5	3	4	1	4	6	10	10
N19	6	1	4	3	3	2	4	3	1	4	3	7	2	3	4	3	4	3	4	3	1	3	4	10	10
N20	6	1	4	3	3	2	4	3	2	4	4	7	3	3	5	3	4	4	4	4	1	3	5	10	10
